config,structure,algebra,n,q,distribution,variant,run,build_ms,query_ms,checksum,peak_rss_kib
gcc-release,sqrt,min,500000,500000,random,after,0,14.0687,6.56325,14290619282437651446,66276
gcc-release,sqrt,min,500000,500000,random,after,1,13.7189,6.88717,14290619282437651446,66304
gcc-release,sqrt,min,500000,500000,random,before,1,19.2631,9.50665,14290619282437651446,80372
gcc-release,sqrt,min,500000,500000,random,before,2,17.8508,7.55427,14290619282437651446,80448
gcc-release,sqrt,min,500000,500000,random,after,2,14.7365,7.33621,14290619282437651446,66292
gcc-release,sqrt,min,500000,500000,random,after,3,14.4014,6.58619,14290619282437651446,66328
gcc-release,sqrt,min,500000,500000,random,before,3,18.3605,7.05539,14290619282437651446,82332
gcc-release,sqrt,min,500000,500000,random,before,4,17.9558,6.63944,14290619282437651446,82188
gcc-release,sqrt,min,500000,500000,random,after,4,13.7223,6.74624,14290619282437651446,66260
gcc-release,sqrt,min,500000,500000,random,after,5,13.9664,6.94145,14290619282437651446,66372
gcc-release,sqrt,min,500000,500000,random,before,5,17.2119,6.59633,14290619282437651446,80444
gcc-release,sqrt,min,500000,500000,short,before,0,18.1048,8.9717,8297229813448507998,80968
gcc-release,sqrt,min,500000,500000,short,after,0,14.6486,8.71394,8297229813448507998,66244
gcc-release,sqrt,min,500000,500000,short,after,1,13.0377,7.90985,8297229813448507998,66292
gcc-release,sqrt,min,500000,500000,short,before,1,17.6711,8.19062,8297229813448507998,82488
gcc-release,sqrt,min,500000,500000,short,before,2,17.5099,8.62716,8297229813448507998,82252
gcc-release,sqrt,min,500000,500000,short,after,2,13.0618,7.62511,8297229813448507998,66268
gcc-release,sqrt,min,500000,500000,short,after,3,12.9982,8.38283,8297229813448507998,66372
gcc-release,sqrt,min,500000,500000,short,before,3,18.8389,9.04988,8297229813448507998,81628
gcc-release,sqrt,min,500000,500000,short,before,4,18.793,9.76012,8297229813448507998,81196
gcc-release,sqrt,min,500000,500000,short,after,4,14.7335,9.31418,8297229813448507998,66140
gcc-release,sqrt,min,500000,500000,short,after,5,14.2721,9.79898,8297229813448507998,66136
gcc-release,sqrt,min,500000,500000,short,before,5,19.4941,9.96586,8297229813448507998,80572
gcc-release,sqrt,min,500000,100,random,before,0,18.2267,0.006184,6510695206153870241,77012
gcc-release,sqrt,min,500000,100,random,after,0,14.2742,0.005542,6510695206153870241,62480
gcc-release,sqrt,min,500000,100,random,after,1,14.4522,0.007202,6510695206153870241,62340
gcc-release,sqrt,min,500000,100,random,before,1,18.9449,0.00657,6510695206153870241,77008
gcc-release,sqrt,min,500000,100,random,before,2,18.5544,0.006024,6510695206153870241,77140
gcc-release,sqrt,min,500000,100,random,after,2,15.2317,0.008031,6510695206153870241,62380
gcc-release,sqrt,min,500000,100,random,after,3,14.0909,0.006422,6510695206153870241,62356
gcc-release,sqrt,min,500000,100,random,before,3,18.4721,0.006284,6510695206153870241,78408
gcc-release,sqrt,min,500000,100,random,before,4,18.8423,0.00613,6510695206153870241,77392
gcc-release,sqrt,min,500000,100,random,after,4,14.7745,0.00626,6510695206153870241,62360
gcc-release,sqrt,min,500000,100,random,after,5,14.1066,0.005984,6510695206153870241,62360
gcc-release,sqrt,min,500000,100,random,before,5,18.7532,0.006696,6510695206153870241,77452
gcc-release,sqrt,sum,500000,500000,random,before,0,17.8532,6.42085,17032039528712304763,80684
gcc-release,sqrt,sum,500000,500000,random,after,0,14.3122,6.33477,17032039528712304763,66296
gcc-release,sqrt,sum,500000,500000,random,after,1,14.1254,6.22899,17032039528712304763,66300
gcc-release,sqrt,sum,500000,500000,random,before,1,17.757,6.2644,17032039528712304763,80984
gcc-release,sqrt,sum,500000,500000,random,before,2,17.606,6.36409,17032039528712304763,80856
gcc-release,sqrt,sum,500000,500000,random,after,2,14.2748,6.00996,17032039528712304763,66264
gcc-release,sqrt,sum,500000,500000,random,after,3,19.2039,6.26053,17032039528712304763,66204
gcc-release,sqrt,sum,500000,500000,random,before,3,20.2113,6.35754,17032039528712304763,82268
gcc-release,sqrt,sum,500000,500000,random,before,4,19.6402,8.49222,17032039528712304763,82012
gcc-release,sqrt,sum,500000,500000,random,after,4,15.8311,6.12457,17032039528712304763,66264
gcc-release,sqrt,sum,500000,500000,random,after,5,15.6144,7.49376,17032039528712304763,66372
gcc-release,sqrt,sum,500000,500000,random,before,5,19.3296,18.6434,17032039528712304763,82124
gcc-release,sqrt,sum,500000,500000,short,before,0,17.7101,8.51243,9280008034577550675,80916
