config,structure,algebra,n,q,distribution,variant,run,build_ms,query_ms,checksum,peak_rss_kib
gcc-release,linear,min,524289,500000,random,after,0,5.372,6.27787,13671779831198670799,19436
gcc-release,linear,min,524289,500000,random,after,1,5.77801,7.74853,13671779831198670799,19448
gcc-release,linear,min,524289,500000,random,before,1,6.41521,17.075,13671779831198670799,20680
gcc-release,linear,min,524289,500000,random,before,2,6.4227,16.1848,13671779831198670799,20628
gcc-release,linear,min,524289,500000,random,after,2,5.66643,8.43554,13671779831198670799,19488
gcc-release,linear,min,524289,500000,random,after,3,5.65905,8.46231,13671779831198670799,19624
gcc-release,linear,min,524289,500000,random,before,3,6.51884,15.6127,13671779831198670799,20764
gcc-release,linear,min,524289,500000,random,before,4,6.20441,14.9034,13671779831198670799,20684
gcc-release,linear,min,524289,500000,random,after,4,5.68195,7.48292,13671779831198670799,19504
gcc-release,linear,min,524289,500000,random,after,5,5.7125,8.36739,13671779831198670799,19440
gcc-release,linear,min,524289,500000,random,before,5,6.27226,15.3252,13671779831198670799,20744
gcc-release,linear,min,524289,500000,short,before,0,6.23364,8.53169,14492130117152109548,20800
gcc-release,linear,min,524289,500000,short,after,0,5.70282,4.09438,14492130117152109548,19484
gcc-release,linear,min,524289,500000,short,after,1,5.81091,5.22965,14492130117152109548,19560
gcc-release,linear,min,524289,500000,short,before,1,6.50952,8.50051,14492130117152109548,20792
gcc-release,linear,min,524289,500000,short,before,2,6.14987,9.1033,14492130117152109548,20676
gcc-release,linear,min,524289,500000,short,after,2,6.03392,3.53557,14492130117152109548,19492
gcc-release,linear,min,524289,500000,short,after,3,5.84534,3.95652,14492130117152109548,19676
gcc-release,linear,min,524289,500000,short,before,3,6.34437,9.14725,14492130117152109548,20752
gcc-release,linear,min,524289,500000,short,before,4,6.50638,8.51137,14492130117152109548,20736
gcc-release,linear,min,524289,500000,short,after,4,6.94746,3.56745,14492130117152109548,19492
gcc-release,linear,min,524289,500000,short,after,5,5.73375,3.76782,14492130117152109548,19420
gcc-release,linear,min,524289,500000,short,before,5,6.27388,8.54978,14492130117152109548,20916
gcc-release,linear,min,524289,500000,equal,before,0,3.94343,9.98662,16692229528249448416,20868
gcc-release,linear,min,524289,500000,equal,after,0,3.15792,7.63783,16692229528249448416,19556
gcc-release,linear,min,524289,500000,equal,after,1,4.03775,8.58796,16692229528249448416,19504
gcc-release,linear,min,524289,500000,equal,before,1,3.50661,9.89416,16692229528249448416,20740
gcc-release,linear,min,524289,500000,equal,before,2,3.94019,10.2761,16692229528249448416,20912
gcc-release,linear,min,524289,500000,equal,after,2,3.46689,8.2515,16692229528249448416,19476
gcc-release,linear,min,524289,500000,equal,after,3,3.55045,8.97731,16692229528249448416,19528
gcc-release,linear,min,524289,500000,equal,before,3,4.16034,10.4318,16692229528249448416,20720
gcc-release,linear,min,524289,500000,equal,before,4,3.91472,9.31451,16692229528249448416,20676
gcc-release,linear,min,524289,500000,equal,after,4,3.17848,7.08461,16692229528249448416,19568
gcc-release,linear,min,524289,500000,equal,after,5,3.56082,8.45016,16692229528249448416,19488
gcc-release,linear,min,524289,500000,equal,before,5,4.15331,9.55646,16692229528249448416,20720
gcc-release,linear,min,524289,500000,ascending,before,0,3.9548,9.4097,16692229528249448416,20732
gcc-release,linear,min,524289,500000,ascending,after,0,3.5026,8.82235,16692229528249448416,19420
gcc-release,linear,min,524289,500000,ascending,after,1,4.10813,8.4736,16692229528249448416,19492
gcc-release,linear,min,524289,500000,ascending,before,1,4.04061,8.31984,16692229528249448416,20908
gcc-release,linear,min,524289,500000,ascending,before,2,4.28474,9.3424,16692229528249448416,20712
gcc-release,linear,min,524289,500000,ascending,after,2,3.40491,7.06474,16692229528249448416,19488
gcc-release,linear,min,524289,500000,ascending,after,3,3.46957,7.68539,16692229528249448416,19440
gcc-release,linear,min,524289,500000,ascending,before,3,3.31857,6.7422,16692229528249448416,20732
gcc-release,linear,min,524289,500000,ascending,before,4,3.38205,6.5775,16692229528249448416,20680
gcc-release,linear,min,524289,500000,ascending,after,4,2.88384,6.28407,16692229528249448416,19444
gcc-release,linear,min,524289,500000,ascending,after,5,3.67989,7.01843,16692229528249448416,19560
gcc-release,linear,min,524289,500000,ascending,before,5,3.91771,8.35386,16692229528249448416,20800
gcc-release,linear,min,524289,500000,descending,before,0,4.1365,10.3157,9361325247145790409,20840
gcc-release,linear,min,524289,500000,descending,after,0,3.61389,9.34768,9361325247145790409,19568
gcc-release,linear,min,524289,500000,descending,after,1,3.73014,7.73013,9361325247145790409,19492
gcc-release,linear,min,524289,500000,descending,before,1,3.67614,9.39505,9361325247145790409,20708
gcc-release,linear,min,524289,500000,descending,before,2,4.06006,9.42276,9361325247145790409,20912
gcc-release,linear,min,524289,500000,descending,after,2,3.56445,7.99685,9361325247145790409,19476
gcc-release,linear,min,524289,500000,descending,after,3,3.6941,8.18301,9361325247145790409,19672
gcc-release,linear,min,524289,500000,descending,before,3,4.34579,9.91473,9361325247145790409,20764
gcc-release,linear,min,524289,500000,descending,before,4,3.91237,9.65804,9361325247145790409,20756
gcc-release,linear,min,524289,500000,descending,after,4,3.64403,7.98005,9361325247145790409,19440
gcc-release,linear,min,524289,500000,descending,after,5,3.42028,7.83741,9361325247145790409,19440
gcc-release,linear,min,524289,500000,descending,before,5,3.78031,10.195,9361325247145790409,20756
clang-release,linear,min,500000,500000,random,before,0,6.91249,14.7433,18090683972228591405,20396
clang-release,linear,min,500000,500000,random,after,0,5.8845,6.13708,18090683972228591405,18564
clang-release,linear,min,500000,500000,random,after,1,6.13153,9.2467,18090683972228591405,18564
