config,structure,algebra,n,q,distribution,variant,run,build_ms,query_ms,checksum,peak_rss_kib
gcc-release,dst,sum,500000,100,random,after,1,26.8819,0.002923,1600832139740968335,81392
gcc-release,dst,sum,500000,100,random,before,1,28.5581,0.00381,1600832139740968335,85256
gcc-release,dst,sum,500000,100,random,before,2,28.2241,0.003623,1600832139740968335,85300
gcc-release,dst,sum,500000,100,random,after,2,25.7898,0.002104,1600832139740968335,81404
gcc-release,dst,sum,500000,100,random,after,3,25.284,0.003561,1600832139740968335,81376
gcc-release,dst,sum,500000,100,random,before,3,28.1184,0.003282,1600832139740968335,85296
gcc-release,dst,sum,500000,100,random,before,4,28.6325,0.003573,1600832139740968335,85200
gcc-release,dst,sum,500000,100,random,after,4,26.1285,0.003537,1600832139740968335,81316
gcc-release,dst,sum,500000,100,random,after,5,26.9891,0.003159,1600832139740968335,81304
gcc-release,dst,sum,500000,100,random,before,5,26.1645,0.002187,1600832139740968335,85212
gcc-release,dst,affine,500000,500000,random,before,0,60.6518,10.0053,11025557265200150944,175104
gcc-release,dst,affine,500000,500000,random,after,0,45.8495,9.53984,11025557265200150944,167224
gcc-release,dst,affine,500000,500000,random,after,1,43.0926,9.79279,11025557265200150944,167368
gcc-release,dst,affine,500000,500000,random,before,1,41.7285,8.78624,11025557265200150944,175008
gcc-release,dst,affine,500000,500000,random,before,2,44.5943,9.50013,11025557265200150944,175024
gcc-release,dst,affine,500000,500000,random,after,2,45.7738,9.57036,11025557265200150944,167384
gcc-release,dst,affine,500000,500000,random,after,3,47.5886,10.2025,11025557265200150944,167388
gcc-release,dst,affine,500000,500000,random,before,3,43.1698,9.23436,11025557265200150944,175068
gcc-release,dst,affine,500000,500000,random,before,4,41.6833,8.13196,11025557265200150944,175020
gcc-release,dst,affine,500000,500000,random,after,4,40.4556,8.26106,11025557265200150944,167344
gcc-release,dst,affine,500000,500000,random,after,5,40.1832,8.11976,11025557265200150944,167316
gcc-release,dst,affine,500000,500000,random,before,5,41.731,8.47846,11025557265200150944,175016
gcc-release,dst,affine,500000,500000,short,before,0,43.1981,8.29682,17278716764487211200,175076
gcc-release,dst,affine,500000,500000,short,after,0,40.3846,7.79566,17278716764487211200,167392
gcc-release,dst,affine,500000,500000,short,after,1,39.9956,8.22223,17278716764487211200,167460
gcc-release,dst,affine,500000,500000,short,before,1,42.389,8.18235,17278716764487211200,175108
gcc-release,dst,affine,500000,500000,short,before,2,44.1186,8.73687,17278716764487211200,175112
gcc-release,dst,affine,500000,500000,short,after,2,42.869,8.46269,17278716764487211200,167380
gcc-release,dst,affine,500000,500000,short,after,3,42.5366,9.23887,17278716764487211200,167352
gcc-release,dst,affine,500000,500000,short,before,3,45.6374,8.36172,17278716764487211200,175004
gcc-release,dst,affine,500000,500000,short,before,4,44.2038,8.53257,17278716764487211200,174940
gcc-release,dst,affine,500000,500000,short,after,4,37.7754,8.05016,17278716764487211200,167384
gcc-release,dst,affine,500000,500000,short,after,5,40.496,7.8693,17278716764487211200,167300
gcc-release,dst,affine,500000,500000,short,before,5,40.3891,7.72494,17278716764487211200,175112
gcc-release,dst,affine,500000,100,random,before,0,42.7531,0.003712,17756240319959167362,171212
gcc-release,dst,affine,500000,100,random,after,0,44.629,0.004231,17756240319959167362,163492
gcc-release,dst,affine,500000,100,random,after,1,44.9723,0.003527,17756240319959167362,163492
gcc-release,dst,affine,500000,100,random,before,1,45.9882,0.00451,17756240319959167362,171188
gcc-release,dst,affine,500000,100,random,before,2,45.5757,0.004206,17756240319959167362,171100
gcc-release,dst,affine,500000,100,random,after,2,44.4023,0.003946,17756240319959167362,163568
gcc-release,dst,affine,500000,100,random,after,3,45.3476,0.004367,17756240319959167362,163448
gcc-release,dst,affine,500000,100,random,before,3,46.3789,0.004586,17756240319959167362,171148
gcc-release,dst,affine,500000,100,random,before,4,47.0542,0.004929,17756240319959167362,171216
gcc-release,dst,affine,500000,100,random,after,4,45.0755,0.005855,17756240319959167362,163400
gcc-release,dst,affine,500000,100,random,after,5,43.4099,0.003826,17756240319959167362,163424
gcc-release,dst,affine,500000,100,random,before,5,44.3339,0.004235,17756240319959167362,171216
gcc-release,dst,matrix,500000,500000,random,before,0,155.849,14.4359,12536137626927728898,339152
gcc-release,dst,matrix,500000,500000,random,after,0,121.049,13.5739,12536137626927728898,323508
gcc-release,dst,matrix,500000,500000,random,after,1,121.073,13.8172,12536137626927728898,323432
gcc-release,dst,matrix,500000,500000,random,before,1,122.584,13.6611,12536137626927728898,338992
gcc-release,dst,matrix,500000,500000,random,before,2,121.139,14.4025,12536137626927728898,339148
gcc-release,dst,matrix,500000,500000,random,after,2,122.729,13.8177,12536137626927728898,323608
gcc-release,dst,matrix,500000,500000,random,after,3,118.242,13.1068,12536137626927728898,323412
gcc-release,dst,matrix,500000,500000,random,before,3,130.905,13.9907,12536137626927728898,339052
gcc-release,dst,matrix,500000,500000,random,before,4,125.789,13.9954,12536137626927728898,339156
gcc-release,dst,matrix,500000,500000,random,after,4,126.87,15.1315,12536137626927728898,323420
gcc-release,dst,matrix,500000,500000,random,after,5,128.179,14.0775,12536137626927728898,323412
gcc-release,dst,matrix,500000,500000,random,before,5,124.28,14.8115,12536137626927728898,339096
gcc-release,dst,matrix,500000,500000,short,before,0,132.339,13.3065,16579006819884432526,339112
gcc-release,dst,matrix,500000,500000,short,after,0,123.648,13.2939,16579006819884432526,323528
gcc-release,dst,matrix,500000,500000,short,after,1,123.812,13.4116,16579006819884432526,323516
gcc-release,dst,matrix,500000,500000,short,before,1,123.395,13.49,16579006819884432526,339152
gcc-release,dst,matrix,500000,500000,short,before,2,122.585,13.7457,16579006819884432526,339160
gcc-release,dst,matrix,500000,500000,short,after,2,118.49,12.3666,16579006819884432526,323472
gcc-release,dst,matrix,500000,500000,short,after,3,112.602,12.8722,16579006819884432526,323516
gcc-release,dst,matrix,500000,500000,short,before,3,117.891,13.7074,16579006819884432526,339164
gcc-release,dst,matrix,500000,500000,short,before,4,125.532,13.5721,16579006819884432526,339148
gcc-release,dst,matrix,500000,500000,short,after,4,121.305,13.282,16579006819884432526,323408
gcc-release,dst,matrix,500000,500000,short,after,5,119.058,13.0789,16579006819884432526,323596
gcc-release,dst,matrix,500000,500000,short,before,5,121.887,13.4426,16579006819884432526,339132
gcc-release,dst,matrix,500000,100,random,before,0,124.166,0.006257,17864546153195454504,335240
gcc-release,dst,matrix,500000,100,random,after,0,131.668,0.006079,17864546153195454504,319708
gcc-release,dst,matrix,500000,100,random,after,1,121.012,0.005975,17864546153195454504,319556
gcc-release,dst,matrix,500000,100,random,before,1,126.196,0.005909,17864546153195454504,335116
gcc-release,dst,matrix,500000,100,random,before,2,125.773,0.006355,17864546153195454504,335264
gcc-release,dst,matrix,500000,100,random,after,2,123.331,0.006173,17864546153195454504,319568
gcc-release,dst,matrix,500000,100,random,after,3,121.083,0.005661,17864546153195454504,319588
gcc-release,dst,matrix,500000,100,random,before,3,124.469,0.005858,17864546153195454504,335164
gcc-release,dst,matrix,500000,100,random,before,4,120.149,0.005333,17864546153195454504,335216
gcc-release,dst,matrix,500000,100,random,after,4,116.203,0.005821,17864546153195454504,319572
gcc-release,dst,matrix,500000,100,random,after,5,120.728,0.006284,17864546153195454504,319564
gcc-release,dst,matrix,500000,100,random,before,5,123.725,0.006152,17864546153195454504,335340
gcc-release,dst,min,524289,500000,random,before,0,29.6452,6.23531,5432412596779352430,97172
gcc-release,dst,min,524289,500000,random,after,0,30.3389,6.9927,5432412596779352430,93352
gcc-release,dst,min,524289,500000,random,after,1,27.7309,6.31739,5432412596779352430,93272
gcc-release,dst,min,524289,500000,random,before,1,29.2674,6.29105,5432412596779352430,97132
gcc-release,dst,min,524289,500000,random,before,2,30.4461,6.42474,5432412596779352430,97164
gcc-release,dst,min,524289,500000,random,after,2,28.8764,6.19271,5432412596779352430,93228
gcc-release,dst,min,524289,500000,random,after,3,28.0184,5.71897,5432412596779352430,93180
gcc-release,dst,min,524289,500000,random,before,3,29.3632,6.31952,5432412596779352430,97196
gcc-release,dst,min,524289,500000,random,before,4,29.4567,6.26807,5432412596779352430,97144
gcc-release,dst,min,524289,500000,random,after,4,28.7895,6.32548,5432412596779352430,93176
gcc-release,dst,min,524289,500000,random,after,5,29.4358,6.27917,5432412596779352430,93188
gcc-release,dst,min,524289,500000,random,before,5,30.9215,6.65279,5432412596779352430,97176
gcc-release,dst,min,524289,500000,short,before,0,29.2063,5.79702,9250426491848445360,97128
gcc-release,dst,min,524289,500000,short,after,0,28.3171,5.45126,9250426491848445360,93172
gcc-release,dst,min,524289,500000,short,after,1,27.688,6.1907,9250426491848445360,93004
gcc-release,dst,min,524289,500000,short,before,1,29.4773,6.05168,9250426491848445360,97952
gcc-release,dst,min,524289,500000,short,before,2,29.3524,5.85898,9250426491848445360,97132
gcc-release,dst,min,524289,500000,short,after,2,27.7413,6.13834,9250426491848445360,93288
gcc-release,dst,min,524289,500000,short,after,3,28.4587,5.47192,9250426491848445360,93240
gcc-release,dst,min,524289,500000,short,before,3,29.2888,5.36451,9250426491848445360,97248
gcc-release,dst,min,524289,500000,short,before,4,29.5882,5.46307,9250426491848445360,97248
gcc-release,dst,min,524289,500000,short,after,4,27.2342,5.22344,9250426491848445360,93180
gcc-release,dst,min,524289,500000,short,after,5,27.3024,5.2883,9250426491848445360,93188
gcc-release,dst,min,524289,500000,short,before,5,28.2731,5.65596,9250426491848445360,97136
gcc-release,dst,min,524289,100,random,before,0,30.103,0.002615,4893698954213784555,93172
gcc-release,dst,min,524289,100,random,after,0,28.334,0.002763,4893698954213784555,89348
gcc-release,dst,min,524289,100,random,after,1,28.2542,0.003554,4893698954213784555,89352
gcc-release,dst,min,524289,100,random,before,1,30.6421,0.003176,4893698954213784555,93276
gcc-release,dst,min,524289,100,random,before,2,30.3122,0.004134,4893698954213784555,93140
gcc-release,dst,min,524289,100,random,after,2,28.8562,0.003204,4893698954213784555,89400
gcc-release,dst,min,524289,100,random,after,3,28.1629,0.00322,4893698954213784555,89412
